temperature,title,0
-12.0,EMS: ABDOMINAL PAINS,2
-12.0,EMS: CARDIAC ARREST,1
-12.0,EMS: CARDIAC EMERGENCY,4
-12.0,EMS: FALL VICTIM,6
-12.0,EMS: HEAD INJURY,3
-12.0,EMS: HEMORRHAGING,1
-12.0,EMS: LACERATIONS,1
-12.0,EMS: MEDICAL ALERT ALARM,1
-12.0,EMS: RESPIRATORY EMERGENCY,3
-12.0,EMS: SEIZURES,2
-12.0,EMS: SUBJECT IN PAIN,2
-12.0,EMS: SYNCOPAL EPISODE,2
-12.0,EMS: UNKNOWN MEDICAL EMERGENCY,1
-12.0,EMS: VEHICLE ACCIDENT,1
-12.0,Fire: BUILDING FIRE,2
-12.0,Fire: ELEVATOR EMERGENCY,1
-12.0,Fire: FIRE ALARM,9
-12.0,Fire: FIRE INVESTIGATION,1
-12.0,Fire: FIRE SPECIAL SERVICE,1
-12.0,Fire: UNKNOWN TYPE FIRE,1
-12.0,Fire: VEHICLE ACCIDENT,1
-12.0,Traffic: DISABLED VEHICLE -,11
-12.0,Traffic: ROAD OBSTRUCTION -,1
-12.0,Traffic: VEHICLE ACCIDENT -,8
-11.0,EMS: ABDOMINAL PAINS,4
-11.0,EMS: ALLERGIC REACTION,2
-11.0,EMS: BACK PAINS/INJURY,1
-11.0,EMS: BUILDING FIRE,1
-11.0,EMS: CARDIAC ARREST,3
-11.0,EMS: CARDIAC EMERGENCY,6
-11.0,EMS: DEHYDRATION,1
-11.0,EMS: DIABETIC EMERGENCY,2
-11.0,EMS: DIZZINESS,1
-11.0,EMS: FALL VICTIM,5
-11.0,EMS: FEVER,1
-11.0,EMS: FIRE ALARM,1
-11.0,EMS: HEAD INJURY,2
-11.0,EMS: HEMORRHAGING,3
-11.0,EMS: NAUSEA/VOMITING,3
-11.0,EMS: OVERDOSE,1
-11.0,EMS: RESPIRATORY EMERGENCY,12
-11.0,EMS: SUBJECT IN PAIN,9
-11.0,EMS: UNCONSCIOUS SUBJECT,1
-11.0,EMS: UNKNOWN MEDICAL EMERGENCY,2
-11.0,Fire: BUILDING FIRE,3
-11.0,Fire: CARBON MONOXIDE DETECTOR,2
-11.0,Fire: CARDIAC ARREST,1
-11.0,Fire: FIRE ALARM,9
-11.0,Fire: FIRE INVESTIGATION,4
-11.0,Fire: FIRE SPECIAL SERVICE,1
-11.0,Fire: GAS-ODOR/LEAK,1
-11.0,Fire: TRASH/DUMPSTER FIRE,1
-11.0,Fire: UNKNOWN TYPE FIRE,1
-11.0,Fire: VEHICLE FIRE,1
-11.0,Traffic: DISABLED VEHICLE -,21
-11.0,Traffic: HAZARDOUS ROAD CONDITIONS -,3
-11.0,Traffic: ROAD OBSTRUCTION -,1
-11.0,Traffic: VEHICLE ACCIDENT -,12
-11.0,Traffic: VEHICLE FIRE -,1
-10.0,EMS: ABDOMINAL PAINS,8
-10.0,EMS: ALTERED MENTAL STATUS,6
-10.0,EMS: ASSAULT VICTIM,3
-10.0,EMS: BACK PAINS/INJURY,3
-10.0,EMS: BUILDING FIRE,1
-10.0,EMS: CARDIAC ARREST,2
-10.0,EMS: CARDIAC EMERGENCY,17
-10.0,EMS: CHOKING,1
-10.0,EMS: CVA/STROKE,1
-10.0,EMS: DIABETIC EMERGENCY,5
-10.0,EMS: DIZZINESS,5
-10.0,EMS: FALL VICTIM,29
-10.0,EMS: FEVER,4
-10.0,EMS: FRACTURE,1
-10.0,EMS: GENERAL WEAKNESS,8
-10.0,EMS: HEAD INJURY,12
-10.0,EMS: HEMORRHAGING,9
-10.0,EMS: LACERATIONS,1
-10.0,EMS: MATERNITY,1
-10.0,EMS: MEDICAL ALERT ALARM,8
-10.0,EMS: NAUSEA/VOMITING,10
-10.0,EMS: OVERDOSE,7
-10.0,EMS: RESPIRATORY EMERGENCY,33
-10.0,EMS: SEIZURES,8
-10.0,EMS: SUBJECT IN PAIN,11
-10.0,EMS: SYNCOPAL EPISODE,9
